timestamp,question,answer,response_time,success,source
2026-04-18 00:29:39,"whats the tuition fee policy , use the tuition fee policy form ","To determine your tuition fee status at the University of East London, you you will need to complete the Fee Status Questionnaire. This questionnaire requires supporting evidence such as: 1. A copy of the relevant pages of your passport (confirming name and natio nationality) for students from outside the UK/EU. 2. Three years of utility bills and payslips (for a single month from each of the three years preceding the start of your course) to prove residence i in the UK for the three years immediately before the start of the course an and not for full-time education. The Fee Status Questionnaire specifies the documentation required depending depending on your situation, and assessments cannot be carried out until yo you have made an application for admission and been offered a place at the university. Once you have been offered a place, you will need to complete online enrolm enrolment in UEL DIRECT, which is mandatory for all students each academic year or new enrolment period. Please note that if you fail to complete onli online enrolment, you cannot study at UEL and may be withdrawn. If you require further assistance regarding tuition fees or any other finan financial matters, please contact the Student Hub via 0208 223 4444 for gui guidance. The Credit Control Advisors are not able to provide financial adv advice; however, the Student Money Advice and Rights Team (SMART) can give you the necessary support. If the information is not available on this docu document, I am unable to provide information on this topic. For further ass assistance, please contact the hub via 0208 223 4444.",5.7,0,Fullform.pdf
2026-04-18 00:31:34,fee policy ,"The University of East London (UEL) has a fee policy related to internatio international students who require a visa. According to the provided docume documents, these students are required to pay an Immigration Health Surchar Surcharge. This surcharge is £776 per person per year of the visa, and the increase will apply to visa applications made on or after 6 February 2024. The overall fee will depend on how much leave they are granted. For instance, if their length of leave is one year, six months, and two day days, they will have to pay the surcharge for two years. Students can calcu calculate their Immigration Health Surcharge on the UK Government website. It's important to note that this information refers specifically to interna international students who require a visa and are studying at UEL. For deta detailed financial advice, students should contact the SMART team at the un university. If you have any questions or need further assistance that is no not covered in these documents, please contact the Student Hub via 0208 223 223 4444.",3.59,0,Fullform.pdf
2026-04-18 00:32:00,tuition fee policy ,"To determine your tuition fee, you will need to complete a Fee Status Ques Questionnaire provided by the university. This questionnaire requires suppo supporting evidence of your right of permanent residence in the UK/EU and r residence in the UK for the three years immediately before the start of the the course. Examples of documents required include copies of passport pages confirming name, nationality, and any other supporting documentation that shows your r right to remain in the UK. Additionally, three years of utility bills and p payslips (for a single month from each of the three years preceding the sta start of your course) are also required. The university carries out assessments for tuition fees on an individual ba basis using the UK Council for International Student Affairs (UKCISA) guida guidance. Assessments cannot be carried out until you have made an applicat application for admission, and the University has offered a place for you. If you require further assistance with your tuition fee or have any questio questions about financial support, please contact the Student Hub at 0208 2 223 4444 for more information.",3.59,0,Fullform.pdf
2026-04-18 00:32:49,tuition fee policy ,"The tuition fee policy for students at the University of East London (UEL) (UEL) is determined based on a student's fee status. To determine your fee status, you will need to complete a Fee Status Questionnaire and provide su supporting evidence. For UK/EU students, evidence required includes copies of relevant pages fro from their passport (showing name and nationality) and documents that demon demonstrate their permanent residence in the UK. For international students students, evidence might include three years of utility bills and payslips from each of the three years preceding the start of your course. The Fee Status Questionnaire specifies the documentation required depending depending on the student's situation. UEL carries out assessments for tuiti tuition fees on an individual basis using UK Council for International Stud Student Affairs (UKCISA) guidance, and these assessments cannot be carried out until you have made an application for admission and been offered a pla place by the University. Once admitted and offered a place, students must complete a 'Right to Study Study' check, which requires them to provide their immigration documents to to prove they have the right to study in the UK. This is a requirement to c complete enrolment at UEL. If you require further assistance with tuition fees or financial matters, p please contact the Student Hub via 0208 223 4444. For specific advice on im immigration-related matters, you can also contact the International Student Student Advice team directly.",4.21,0,Fullform.pdf
2026-04-18 00:36:49,tuition fee policy,"To determine your tuition fee status at the University of East London, you you will need to complete a Fee Status Questionnaire and provide supporting supporting evidence. This may include documents such as your passport, util utility bills, payslips, and other relevant documentation that demonstrates demonstrates your right to remain in the UK and your residence in the UK fo for the three years immediately before the start of your course. The University carries out assessments for tuition fees on an individual ba basis using the UK Council for International Student Affairs (UKCISA) guida guidance. Assessments cannot be carried out until you have made an applicat application for admission and been offered a place at the university. For international students who require a visa, you will also need to comple complete a 'Right to Study' check, where you will provide your immigration documents to prove that you have the right to study in the UK. This is a re requirement in order to complete enrolment at the University of East London London. Once you have completed your enrolment, including setting up a fee payment plan and making the first payment, you can access information about bursari bursaries and scholarships on the intranet page: <https://uelac.sharepoint. <https://uelac.sharepoint.com/sites/studentsupport/SitePages/SMART-Funds.as<https://uelac.sharepoint.om/sites/studentsupport/SitePages/SMART-Funds.aspx>. If you have further questions or need additional assistance regarding tuiti tuition fees, financial advice, or other related matters, please contact th the Student Hub via 0208 223 4444.",4.38,0,Fullform.pdf
2026-04-18 00:41:24,tuition fee policy ,"The Tuition Fee Policy at the University of East London (UEL) outlines the the charges made to students for the 2025/26 academic year. Here's a summar summary: 1. Eligibility: This policy applies to all students enrolled at UEL, exclud excluding apprentices and partner students, in the 2025/26 academic year. I If you were previously an apprentice and switched to a different UEL course course, this policy becomes applicable, and you will be responsible for pay paying your own fees with or without a student loan. 2. Fee Status: The Admissions team will assess your application and assign a fee status, which determines how much you will pay in tuition fees. This assessment is made in line with UK regulations issued by the UK Council for for International Student Affairs (UKCISA). You can find more details about about our fee status assessment on UEL's website. 3. Tuition Fee Rates: The Policy explains your tuition fee based on the lev level of study (undergraduate, postgraduate taught and research degree cour courses) and mode of attendance (full-time or part-time). For undergraduate undergraduate courses, fees are set annually for each academic year. Most p postgraduate courses are not fee-capped; you can find our postgraduate and placement fees at schedule-1---fees-schedule-2025-26.pdf. 4. Fee Rates and Deductions: The policy explains deductions that may apply, apply, such as a non-refundable deposit for International students. Additio Additionally, changes to fees if you interrupt your studies or withdraw wil will be outlined in the Policy. 5. Administrative Fees: The Policy also states when we may charge an admini administrative fee. 6. Student Rights and Responsibilities: You have rights and responsibilitie responsibilities regarding enrolment, tuition fee liability points, and pay payment deadlines, as detailed in Section 6 of the Policy. It's important t to note that you must complete your payments or payment plans on or before the enrolment date for each academic year. Any outstanding tuition fees owi owing to UEL must be cleared before you can re-enroll for a further year of of study. If you have questions about specific aspects of this policy, I recommend yo you read the entire document on the UEL website or contact the Student Hub for further assistance.",7.88,0,Tuition Fee Policy.pdf
2026-04-18 00:59:28,how do i complete enrolment ,"To complete your enrolment at UEL, follow these steps: 1. Online Enrolment: Complete the online enrolment process in UEL DIRECT. Y You will receive an invitation by email ahead of each new academic year or enrolment period. New students will receive emails to their personal and UE UEL email addresses, while returning students will only receive it to their their UEL email address. 2. Payment: Your enrolment is complete once we have received payment of the the cleared funds into our bank account. Payments must be completed on or b before the enrolment date for each academic year. If you are paying in inst installments, ensure that the first instalment is paid on time to proceed w with enrollment. Any outstanding tuition fees owing to the University must be cleared in full before the enrolment process. 3. Deadline: Ensure you enroll as soon as possible and no later than the de deadline specified in your enrolment invitation email. Typically, the enrol enrolment deadline for UEL students is 14 days after the course start date, date, though students studying with some of UEL’s partnership institutions may have longer to enroll. If you encounter any difficulties during the enrollment process or have que questions about your payment plan, you should contact the Student Hub for f further assistance.",7.86,0,ChatBOT Document v2.pdf | Tuition Fee Policy.pdf
2026-04-18 01:06:43,how do i enrol ,"To enroll, follow these steps: 1.

Go to the UEL (University of East London) Direct website at https://ueld https://ueldirect.uel.ac.uk/portal/ 2.

Log in with your Network ID and password.

If you don't have an account y yet, create one using the self-registration option available on the login p page.

3.

Once logged in, navigate to the Enrolment section.",6.32,1,ChatBOT Document v2.pdf
2026-04-18 01:08:38,how do i enrol ,"To enroll, follow these steps: **Access UEL Direct**: Go to the University of East London's (UEL) onlin online platform called UEL Direct at https://ueldirect.uel.ac.uk/.

**Login or Register**: If you are new student, create an account by cl clicking on ""Register"".

If you already have an account, enter your login cr credentials to access the system.

**Enrollment Checklist**: Once logged in, navigate to the enrollment che checklist.

This will display any remaining tasks you need to complete for enrollment, such as accepting your offer, uploading documents, or paying fe fees.

**Complete Enrollment Tasks**: Follow the instructions to complete the required tasks on the checklist.",5.37,1,ChatBOT Document v2.pdf
2026-04-18 01:09:00,how do i get a refund,"To request refund, the context does not provide explicit instructions fo for general circumstances.

However, based on the provided context, here are some instances where refund might be possible: Replacement Certificates: If you have already paid for replacement cer certificate and later find your original certificate, you cannot get refu refund once the replacement certificate has been issued.

(Refer to the Chat ChatBOT Document v2.pdf) Award Letters: If you have made payment for an award letter but need t to cancel or change your request, contact the Student Hub at SLHD@uel.ac.uk SLHD@uel.ac.uk as soon as possible.

It is not clear if refunds are provided in this case.

(Refer to the ChatBOT Document v2.pdf) Tuition Fees: If you have overpaid tuition fees due to sponsor paying more than required, contact the Income & Credit Control Team at creditcontr creditcontrol@uel.ac.uk or call +44 (0)20 8223 Make sure to provide your student number and the details of the overpayment for processing the refund.

(Refer to Tuition Fee Policy.pdf) Please note that these are potential scenarios for refund based on the pr provided context.",5.33,1,ChatBOT Document v2.pdf | Tuition Fee Policy.pdf
2026-04-18 01:10:46,how do i get a refund ,"To get refund, the context provided does not explicitly state process for refunds in general.

However, it does provide information about replacement certificates and certified copies of certificates.

If you have paid for replacement certificate or certified copy of your award certificate and wish to request refund, please follow these steps: Contact the Student Hub at slhd@uel.ac.uk.

Include your student number, payment reference, and postal address in your email.

If you have requested replacement certificate, also include two copies of identification evidence displaying your name and address (acceptable forms include bank statement, utility bills, passport, driver'license, or letter from solicitor, accountant, or Revenue & Customs).

For certified copy of your award certificate, also include scanned coloured copy of your original certificate in your email.",6.29,1,ChatBOT Document v2.pdf | Tuition Fee Policy.pdf
2026-04-18 01:16:13,how do i enrol ,"To enroll, follow these steps: Go to the university'official website and navigate to the admissions or enrollment section.

Click on the ""Apply Now"" button and fill out the application form with your personal information and academic details.

Submit the required documents such as transcripts, test scores, letters of recommendation, and any other specific documents required by the university.

Pay the application fee, if applicable.

Wait for response from the university regarding your application status.

If accepted, you will receive further instructions on how to complete the enrollment process, which may include registering for classes, paying tuition fees, and setting up your student account.",7.41,1,ChatBOT Document v2.pdf
2026-04-21 10:32:41,hi there ,"Hello!

How can assist you today?

If you have any questions or need help regarding the university services, feel free to ask.

Here are some resources that might be helpful for you: Timetabled Events and Attendance: International students must adhere to stringent attendance requirements in line with UK Visas and Immigration (UKVI) regulations to maintain their student status and visa eligibility.

Continuous engagement throughout the academic program is crucial to demonstrate commitment to studies and compliance with visa regulations, minimizing the risk of visa complications or potential withdrawal.

Absence Management: If you are unable to attend classes due to unforeseen circumstances, please submit an Absence Form notifying the Student Engagement and Retention Team (SERT) of your non-attendance.",13.81,1,ChatBOT Document v2.pdf
2026-04-21 10:33:18,how can i apply ,"To apply for DBS (Disclosure and Barring Service) check, follow these steps if you are student at the University of East London: Contact the Disability and Dyslexia Team or the Student Money Advice & Rights Team (SMART) depending on your needs: - If you need DBS check for work or volunteering that involves working with children or vulnerable adults, contact the Disability and Dyslexia Team at 0208 223 4444 or email ddac@uel.ac.uk.

- If you need DBS check for any other purpose, contact the Student Money Advice & Rights Team (SMART) by calling 0208 223 4444 or emailing smart@uel.ac.uk.

Follow the instructions provided by the team you contacted: - The Disability and Dyslexia Team will guide you through the process if your DBS check is related to working with children or vulnerable adults.

- SMART will provide you with information on how to apply for DBS check for other purposes.

Prepare the necessary documents: - You may need to provide identification documents such as passport, driving license, or birth certificate.

Complete the application form: - The team will provide you with the appropriate application form to fill out.",8.77,1,ChatBOT Document v2.pdf
2026-04-21 22:12:07,When do I become liable for tuition fees?,"You become liable for tuition fees after the specified liability period.

For undergraduate students (including MArch Architecture, Integrated Masters, and PGCE courses), the liability periods are as follows: Liability Period 1: 25% of the tuition fee is due 21 days after the start of Term Liability Period 2: 50% of the tuition fee is due 7 days after the start of Term Liability Period 3: The remaining 100% of the tuition fee is due 7 days after the start of Term For postgraduate (taught and research) students, the liability periods are: Liability Period 1: 50% of the tuition fee is due 21 days after the start of Term Liability Period 2: The remaining 100% of the tuition fee is due 7 days after the start of Term",56.62,1,ChatBOT Document v2.pdf | Tuition Fee Policy.pdf
